Generation,Best_Fitness,Average_Fitness,Worst_Fitness,Top_1_Genome,Top_2_Genome,Top_3_Genome,Top_4_Genome,Top_5_Genome,Top_6_Genome,Top_7_Genome,Top_8_Genome,Top_9_Genome,Top_10_Genome
0,10.0,0.85,-5.0,"[-63, 58, -12, 89, -55, -24, -5, 48]","[91, 61, 8, 93, -21, -85, 76, -51]","[83, 46, 17, 36, -7, -35, -97, -61]","[-43, 94, -2, -76, -50, -49, 63, 83]","[94, 51, -13, 4, -28, 6, 28, -28]"
1,8.0,-0.35,-9.0,"[87, 37, -13, 26, 24, -32, -18, -23]","[84, 47, 14, 33, -9, -31, -84, -57]","[25, 35, -35, 23, 31, -10, -87, -91]","[-18, 59, -6, 90, -45, -42, 19, 19]","[25, 73, -7, -36, -39, -22, 46, 28]"
2,7.0,2.35,-9.0,"[11, 68, -7, 6, -41, -28, 36, 24]","[-62, 42, 4, 43, -42, -39, 14, 35]","[23, 36, -33, 27, 27, -12, -81, -85]","[20, -35, 51, 74, -25, -38, 9, -58]","[-53, 50, -16, 66, -45, -24, 6, 46]"
3,2.0,-3.4,-9.0,"[71, 45, -72, 55, -11, -42, -45, -71]","[-18, 57, -4, 47, -43, -36, 24, 25]","[45, 40, -50, 40, 10, -26, -64, -78]","[-5, 75, -37, 7, -29, -45, -35, -28]","[-19, 83, 25, 20, -26, 1, 34, 13]"
4,4.0,-1.65,-10.0,"[71, 45, -72, 55, -11, -42, -45, -71]","[55, 49, -50, 51, -15, -39, -24, -44]","[-14, 69, -42, -76, 54, -79, -4, -15]","[10, 62, 1, -7, -8, -45, 2, -21]","[-18, 57, -4, 47, -43, -36, 24, 25]"
5,10.0,-0.15,-8.0,"[80, 61, 68, 53, -32, 37, 68, -98]","[-17, 55, -20, 34, -24, -33, -21, -12]","[7, 63, 2, -3, -13, -43, 6, -16]","[71, 45, -72, 55, -11, -42, -45, -71]","[23, 59, -24, 40, -32, -35, 2, -18]"
6,10.0,1.15,-10.0,"[80, 61, 68, 53, -32, 37, 68, -98]","[72, 60, 60, 51, -31, 31, 60, -91]","[24, 63, 17, 10, -17, -24, 20, -35]","[-14, 57, -12, 30, -26, -32, -10, -8]","[73, 58, -88, -49, 59, -39, -4, -25]"
7,10.0,0.8,-9.0,"[-11, 56, -15, 31, -23, -32, -15, -15]","[71, 60, 59, 50, -31, 30, 59, -90]","[70, 60, 58, 50, -31, 29, 58, -89]","[80, 61, 68, 53, -32, 37, 68, -98]","[77, 61, 62, 52, -32, 33, 64, -94]"
8,10.0,4.5,-10.0,"[-11, 56, -15, 31, -23, -32, -15, -15]","[72, 60, 59, 50, -31, 30, 59, -90]","[9, 57, 3, 36, -25, -17, 3, -33]","[71, 60, 59, 50, -31, 30, 59, -90]","[77, 61, 65, 52, -32, 34, 65, -95]"
9,10.0,6.05,-4.0,"[-11, 56, -15, 31, -23, -32, -15, -15]","[42, 58, 33, 43, -28, 8, 33, -64]","[43, 59, 34, 44, -28, 9, 34, -64]","[76, 61, 64, 52, -32, 34, 64, -95]","[74, 60, 62, 51, -31, 32, 62, -92]"
0,10.0,0.0,-6.0,"[11, 60, -23, -61, -88, -82, 5, 25]","[-48, 33, -63, 22, -35, -53, -91, 11]","[34, 36, 17, 72, -82, -91, 46, 29]","[72, -21, 73, 3, -39, -100, -3, -65]","[35, -30, -8, -3, -50, -82, -34, 57]"
1,9.0,1.9,-10.0,"[-9, 60, 23, 30, -9, -5, 22, 33]","[56, -64, 17, -63, -72, -88, 2, -59]","[32, -22, -46, -30, 22, -44, -44, 28]","[0, 54, 21, 40, -25, -25, 28, 32]","[38, 30, 23, 65, -77, -92, 41, 19]"
2,9.0,1.45,-8.0,"[27, 37, 23, 57, -62, -72, 37, 22]","[-6, 60, 17, 17, -20, -16, 20, 32]","[-20, 17, -2, 32, -69, -12, -17, 13]","[25, 22, 16, 48, -52, -83, 41, 8]","[8, 16, 7, 49, -82, -53, 5, 12]"
3,8.0,2.1,-9.0,"[27, 15, 23, 33, -44, -85, 36, 0]","[31, -4, 43, -5, -21, -90, 22, -21]","[0, 53, 17, 23, -26, -29, 24, 27]","[27, 36, 21, 53, -59, -70, 33, 22]","[19, 29, 16, 42, -46, -70, 37, 13]"
4,10.0,2.5,-8.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[6, 45, 20, 15, -33, -38, 20, 28]","[-38, 58, -28, 61, 66, -60, -23, 71]","[-27, -42, 32, 45, -39, -68, 42, -55]","[70, -42, -19, 54, -46, -53, -22, 65]"
5,10.0,2.95,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[-21, 11, 20, 34, 7, -64, 1, 5]","[26, 2, 10, 31, -6, -57, -25, 43]","[-3, 35, -1, 46, 7, -73, 9, 33]"
6,10.0,0.45,-6.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[3, 38, 57, 10, -25, -15, 55, -56]","[-21, 38, -4, 48, 15, -77, 49, -19]","[23, 5, 10, 31, -3, -57, -25, 43]","[5, 21, 11, 30, 14, -59, -24, 42]"
7,10.0,2.05,-9.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[7, 31, 47, 15, -20, -24, 38, -34]","[-14, 37, -2, 48, 7, -74, 41, -5]","[4, 32, 42, 17, -12, -30, 29, -23]"
8,10.0,1.15,-8.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[8, 30, 40, 19, -17, -38, 29, -19]","[18, 12, 14, 29, -17, -53, -1, 23]"
9,10.0,4.55,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[22, -6, 21, 34, -29, -45, 17, 14]","[29, 21, 29, 31, -44, -78, 29, 5]"
10,10.0,4.5,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[18, 24, 19, 35, -26, -71, 19, 13]","[29, 21, 29, 31, -44, -78, 29, 5]","[17, 32, 22, 30, -30, -63, 31, 5]","[25, 22, 28, 29, -35, -72, 24, 6]"
11,10.0,1.1,-6.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[26, 24, 27, 31, -41, -74, 29, 5]","[23, 16, 25, 30, -29, -25, 44, 6]","[25, 25, 27, 31, -38, -72, 30, 5]"
12,10.0,0.15,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[26, 24, 27, 31, -41, -74, 29, 5]","[23, 18, 25, 30, -30, -33, 41, 6]"
13,10.0,0.05,-8.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[25, 19, 27, 30, -35, -50, 36, 6]","[28, 22, 28, 31, -42, -76, 29, 5]","[27, 20, 27, 31, -38, -60, 34, 5]"
14,10.0,0.65,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[21, 29, 24, 30, -34, -67, 31, 5]","[27, 23, 28, 30, -40, -73, 29, 5]"
15,10.0,0.35,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -43, -77, 29, 5]","[26, 21, 28, 28, -41, -76, 34, 9]","[22, 22, 26, 22, -34, -72, 42, 17]","[28, 22, 28, 31, -41, -75, 29, 5]"
16,10.0,-0.25,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[24, 22, 27, 24, -36, -73, 38, 14]","[19, 21, 28, 21, -47, -76, 32, -2]","[-28, 21, 28, 18, -51, -77, 31, -7]","[17, 22, 28, 19, -48, -75, 29, -7]"
17,10.0,0.15,-9.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[27, 21, 29, 29, -45, -77, 29, 3]","[24, 23, 28, 28, -44, -75, 29, 1]","[27, 23, 28, 30, -41, -75, 30, 6]","[27, 22, 28, 30, -42, -75, 30, 6]"
18,10.0,0.15,-10.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[27, 21, 29, 29, -45, -77, 29, 3]","[-10, 23, -41, -59, -42, -75, 29, -80]","[27, 23, 28, 31, -42, -75, 29, 5]"
19,10.0,0.7,-9.0,"[29, 21, 29, 31, -44, -78, 29, 5]","[29, 21, 29, 31, -44, -78, 29, 5]","[26, 21, 28, 28, -43, -76, 31, 5]","[27, 23, 28, 31, -42, -75, 29, 5]","[27, 23, 28, 30, -41, -75, 30, 6]"

0,10.0,0.15,-3.0,"[21, 92, -90, 4, -21, 0, -68, 64]","[-57, 91, 56, -32, 5, -70, -30, 29]","[80, 18, 15, -45, 82, -80, -56, 69]","[-17, 60, -94, 99, 31, -65, 92, -87]","[-54, -30, 20, -82, 47, -55, 56, 91]"
1,8.0,0.75,-5.0,"[21, 70, -70, 4, -10, -1, -55, 61]","[53, 51, -32, -23, 36, -44, -61, 67]","[9, 82, -91, 33, -5, -20, -19, 17]","[58, -2, -21, -1, 38, -55, -13, 58]","[64, 11, 12, -22, 80, -51, -41, 62]"
2,8.0,1.75,-10.0,"[21, 70, -70, 4, -10, -1, -55, 61]","[21, 77, -76, 4, -14, -1, -59, 62]","[21, 85, -84, 4, -17, 0, -64, 63]","[58, -2, -21, -1, 38, -55, -13, 58]","[21, 92, -90, 4, -21, 0, -68, 64]"
3,8.0,1.95,-6.0,"[34, 54, -46, -10, -1, -27, -40, 40]","[21, 70, -70, 4, -10, -1, -55, 61]","[54, 11, -25, 77, 33, -82, 51, 57]","[55, 4, -26, -1, 34, -51, -17, 58]","[21, 70, -70, 4, -10, -1, -55, 61]"
4,8.0,2.1,-7.0,"[44, 25, -39, 1, 20, -35, -28, 59]","[37, 40, -49, 1, 11, -25, -38, 59]","[34, 54, -46, -10, -1, -27, -40, 40]","[31, 50, -57, 3, 3, -16, -44, 60]","[13, 73, -74, 3, -20, -7, -55, 64]"
5,4.0,0.6,-6.0,"[16, 73, -72, 3, -17, -4, -56, 63]","[31, 60, -54, -4, 6, -15, -52, 59]","[19, 70, -68, 0, -15, -8, -53, 58]","[26, 36, -47, 0, 2, -28, -33, 62]","[-11, 48, -54, -1, -32, -19, -35, 67]"
6,6.0,0.1,-10.0,"[16, 73, -72, 3, -17, -4, -56, 63]","[-10, 14, -58, 0, 2, -53, -39, 1]","[30, 61, -56, -5, -2, -19, -49, 54]","[32, 58, -53, -4, 7, -17, -51, 59]","[28, 57, -58, -1, -2, -18, -47, 59]"
7,10.0,0.0,-10.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[32, 54, -53, -4, 2, -22, -44, 55]","[24, 53, -58, 2, -4, -18, -44, 62]","[26, 64, -60, -3, -5, -13, -52, 57]","[40, 31, -42, -1, 18, -33, -33, 52]"
8,10.0,-0.05,-10.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[29, 44, -50, -2, 8, -26, -42, 50]","[25, 61, -59, -1, -5, -15, -49, 59]","[27, 52, -56, 16, -1, -80, 74, 9]","[6, 21, -54, 0, 5, -45, -37, 20]"
9,9.0,1.05,-6.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[17, -82, 18, 0, -92, -37, -14, 67]","[29, 44, -50, -2, 8, -26, -42, 50]","[28, 49, -54, 10, 2, -63, 38, 22]","[6, 21, -54, 0, 5, -45, -37, 20]"
10,8.0,-1.25,-9.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[4, 19, -54, 0, 5, -47, -37, 17]","[29, 45, -51, 1, 6, -36, -20, 42]","[32, 59, -56, -3, -5, -23, -43, 58]","[6, 21, -54, 0, 5, -45, -37, 20]"
11,8.0,0.05,-8.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[4, 19, -54, 0, 5, -47, -37, 17]","[19, 35, -52, 1, 6, -40, -27, 32]","[14, 29, -53, 0, 5, -43, -30, 27]","[13, 33, -55, -1, 1, -40, -39, 31]"
12,9.0,0.65,-7.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[4, 19, -54, 0, 5, -47, -37, 17]","[24, 46, -54, 1, 1, -38, -22, 39]","[22, 41, -53, -2, 0, -32, -40, 43]","[17, 37, -54, -2, 2, -36, -38, 36]"
13,9.0,0.2,-10.0,"[4, 19, -54, 0, 5, -47, -37, 17]","[9, 26, -54, 0, 4, -45, -33, 22]","[22, 42, -54, 0, 1, -38, -28, 38]","[19, 39, -54, 0, 2, -40, -27, 34]","[18, 37, -31, 0, 2, -91, -40, 34]"
14,10.0,-1.95,-8.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[4, 19, -54, 0, 5, -47, -37, 17]","[6, 42, -54, 16, 2, -39, -39, 34]","[-1, 75, 21, 20, -99, -40, -16, 30]","[-10, 43, -54, 46, 12, -42, -59, 7]"
15,10.0,-3.25,-10.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[3, 39, -47, 17, 3, -55, -47, 31]","[4, 19, -54, 0, 5, -47, -37, 17]","[5, 21, -54, 0, 5, -46, -37, 19]","[4, 19, -54, 0, 5, -47, -37, 17]"
16,10.0,-0.2,-10.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[3, 39, -47, 17, 3, -55, -47, 31]","[2, 39, -48, 18, 3, -54, -48, 31]","[-10, 41, -53, 33, 3, -42, -53, 28]","[4, 19, -54, 0, 5, -47, -37, 17]"
17,10.0,0.15,-10.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[2, 39, -48, 19, 3, -54, -48, 31]","[-10, 41, -53, 32, 3, -42, -53, 28]","[2, 38, -48, 17, 3, -54, -48, 30]","[4, 29, 10, 8, 4, -51, 0, 52]"
18,10.0,3.0,-8.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[4, 20, -54, 1, 5, -47, -37, 18]","[4, 80, 91, 2, 5, 35, -83, 18]","[1, 35, 33, 16, 4, -51, 11, 67]","[3, -36, 52, 13, 4, -53, 25, 73]"
19,10.0,4.75,-8.0,"[-11, 41, -54, 34, 3, -41, -54, 28]","[3, 27, 9, 7, 4, -50, 1, 52]","[3, -27, 38, 12, 4, -52, 16, 66]","[2, 1, 8, 15, 3, -53, -6, 54]","[3, -35, 51, 13, 4, -53, 24, 73]"
0,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[88, 54, 46, 89, 31, -52, -5, -40]","[-98, 90, 48, 11, 70, -27, -50, -52]","[70, 91, -63, 11, 18, -97, 32, 73]","[-44, -6, -49, 63, -59, -96, 33, -47]"
1,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[15, -29, -25, -60, -87, 81, -80, -88]","[-39, -44, -67, 82, -35, 86, -35, -8]","[11, -47, -86, 6, 51, -4, -10, 8]","[5, -22, -78, 23, -8, -47, -6, -56]"
2,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-5, -26, -49, 75, -38, -24, 13, -7]","[-5, -26, -49, 75, -38, -24, 13, -7]","[6, -24, -26, -41, -83, 55, -62, -81]","[-34, 1, -31, 49, -64, -67, 22, -49]"
3,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-32, 20, -56, 2, -43, 9, -67, 3]","[-34, 22, -57, 4, -42, 7, -67, 5]","[-31, -55, 60, 18, 10, -1, -37, -31]","[-75, 12, 63, 58, -17, -7, -11, -16]"
4,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[20, -38, 8, 26, -20, 96, 22, -2]","[-13, -22, 9, 25, -20, -11, -26, 7]","[-36, 20, -25, 5, -71, 8, -68, 7]","[56, -66, -82, 22, -36, -93, -68, 10]"
5,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-91, -57, -48, 46, -96, 42, 97, 48]","[17, -38, 7, 27, -22, 95, 24, -1]","[24, -32, -75, 29, -18, -41, -52, 25]","[-7, -1, -68, 36, -1, 8, -38, 40]"
6,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-1, -9, 8, 26, -18, -14, -32, -25]","[20, 30, 15, 31, 26, -24, -40, -56]","[-40, 14, -49, 23, -42, 50, -3, 23]","[77, -63, -48, 40, -73, 36, 74, 42]"
7,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-4, 60, 27, -78, -74, 6, -7, 57]","[-20, 33, -27, 12, -34, 14, -18, 31]","[-17, 16, -42, -62, -61, 13, -47, 21]","[9, -24, -19, 75, -9, 28, 7, 9]"
8,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-4, -9, 13, 33, -16, 14, -17, 0]","[-1, -2, 24, 42, -15, 27, -24, -2]","[16, 19, -57, 10, -26, 43, -16, 27]","[17, 16, -51, 13, -27, 46, -16, 24]"
9,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[4, 8, 20, 40, -6, 18, -30, -15]","[5, 12, 19, 39, -4, 16, -32, -19]","[19, 14, -7, 29, -11, 30, -31, -10]","[26, 40, 51, 12, -25, 31, -31, 19]"
10,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[18, 22, -1, 20, -24, 30, -29, 16]","[23, 32, 28, 15, -24, 31, -30, 17]","[26, 32, 51, 12, 2, -57, -31, 0]","[26, 40, 51, 12, -25, 31, -31, 19]"
11,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[18, 24, -10, 14, -24, 34, -22, 20]","[18, 24, -8, 15, -24, 33, -23, 20]","[-4, 5, -23, 7, -31, 28, -25, 18]","[-4, -95, 29, 81, -57, -17, -25, 18]"
12,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[16, 32, -50, 5, -21, 27, -17, 32]","[16, 32, -50, 6, -22, 28, -18, 31]","[-4, -94, 28, 80, -57, -17, -25, 18]","[11, 19, -51, 13, -25, 33, -17, 26]"
13,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[17, 29, -36, -21, 0, -11, -23, 40]","[24, 29, -43, -9, 15, -19, -49, 39]","[-15, 22, -6, -30, -41, 9, 18, 34]","[2, 28, -31, -10, -30, 19, -1, 33]"
14,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-16, 31, 41, -35, -28, 8, 41, 43]","[-8, 31, 12, -38, -28, 8, 33, 43]","[-20, 32, 71, -18, -77, -1, 3, 40]","[12, 23, -58, 10, -24, 32, -16, 29]"
15,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[8, -8, 21, 59, 7, 3, -15, 34]","[21, 28, -46, -9, 9, -15, -43, 37]","[16, 12, -35, -21, -6, -9, -20, 40]","[8, -79, -33, -24, -34, -6, -12, 39]"
16,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[51, 19, -63, 26, -87, 2, 20, -71]","[44, 13, -65, 18, 17, 4, 14, 10]","[20, 23, 48, 61, -61, -57, 65, -40]","[17, 16, -1, 12, -28, -28, 15, 7]"
17,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-4, 50, -8, -21, -28, 15, 7, 42]","[-4, 64, -3, -21, -28, 15, 0, 43]","[15, 38, -75, 4, -24, 13, -5, 34]","[19, 25, 33, 54, -56, -49, 57, -31]"
18,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[-17, -19, 41, 19, -23, 0, 4, 20]","[18, 24, 33, 53, -55, -48, 56, -30]","[-31, 7, -48, 27, -44, 5, 32, 32]","[-67, 39, -2, -9, -36, 77, -6, 39]"
19,0.0,0.0,0.0,"[14, 40, -90, -3, -19, 21, -13, 43]","[4, -9, -35, -12, -25, 3, -7, 38]","[-12, 12, 4, -5, -28, 5, 8, 35]","[-19, -16, -80, 20, -26, 62, 68, 22]","[-29, 4, -37, 26, -41, 4, 28, 30]"
0,0.0,0.0,0.0,"[-97, 15, -45, 34, 60, 94, 90, -66]","[20, -2, 81, -68, -27, 35, 78, -24]","[-34, -49, -18, -89, -31, 43, 59, -48]","[-14, -85, -4, 29, -65, 97, 95, -88]","[7, -74, 58, 71, -76, -76, 99, -23]"
1,0.0,0.0,0.0,"[-97, 15, -45, 34, 60, 94, 90, -66]","[-86, 28, -29, 31, 25, 14, -1, -51]","[15, -45, -21, -12, -1, 39, 27, -57]","[-3, -68, 40, 32, -65, -47, 89, -29]","[-24, -55, 0, -50, -42, 14, 69, -42]"
2,0.0,0.0,0.0,"[-97, 15, -45, 34, 60, 94, 90, -66]","[0, 33, -7, -15, -31, 8, 34, 51]","[-18, -31, -2, -41, -39, 13, 59, -17]","[-25, -23, -15, 1, -11, 33, 7, -58]","[-28, -18, -15, 1, -1, 23, -1, -59]"
3,0.0,0.0,0.0,"[-97, 15, -45, 34, 60, 94, 90, -66]","[-9, -33, 30, 13, 28, 0, 98, 71]","[37, 86, 29, -14, -11, -8, 60, 33]","[-14, -34, 25, 14, 27, 2, -8, 67]","[-41, -91, -60, -2, 63, 27, -81, -96]"
4,0.0,0.0,0.0,"[-97, 15, -45, 34, 60, 94, 90, -66]","[-8, -16, -6, -79, -58, -12, 24, -29]","[-32, -24, -2, 35, -60, 51, 33, -31]","[-33, -34, -86, 6, 16, -18, 15, 49]","[24, -60, 56, 17, 78, 21, 64, -32]"
5,0.0,0.0,0.0,"[-97, 15, -45, 34, 60, 94, 90, -66]","[3, 4, -33, 13, 15, -17, 45, 38]","[-9, 81, -81, 13, -33, -88, 51, 66]","[22, -38, 35, 46, 2, 10, 78, -8]","[23, -39, 40, 14, 54, 18, 44, -24]"
